datetime,process_order,material,quantity,qty_status,sap_type,sap_message,status,error
2026-03-16 05:23:58.019,2610016964,21007333,2856,GOOD,E,"OR Order quantity exceeded by 2,856 PCS : 21007333 2200 3103 G26311GA01",OK,
2026-03-16 05:23:58.555,2610017048,21010433,2856,GOOD,E,"OR Order quantity exceeded by 2,856 PCS : 21010433 2200 3103 G26312GA02",OK,
2026-03-16 05:23:59.069,2610017103,21009285,1000,GOOD,E,"OR Order quantity exceeded by 1,000 PCS : 21009285 2200 3103 G26312G308",OK,
2026-03-16 05:23:59.518,2610017011,21009745,10000,GOOD,E,"OR Order quantity exceeded by 10,000 PCS : 21009745 2200 3103 G26312G703",OK,
2026-03-16 05:23:59.961,2610017012,21009745,10000,GOOD,E,"OR Order quantity exceeded by 10,000 PCS : 21009745 2200 3103 G26312G704",OK,
2026-03-16 05:24:00.501,2610017014,21009745,10000,GOOD,E,"OR Order quantity exceeded by 10,000 PCS : 21009745 2200 3103 G26312G705",OK,
2026-03-16 05:24:00.936,2610017007,21008015,1728,GOOD,E,"OR Order quantity exceeded by 1,728 PCS : 21008015 2200 3103 G26312GD02",OK,
2026-03-16 05:24:01.527,2610017050,21010433,2856,GOOD,E,"OR Order quantity exceeded by 2,856 PCS : 21010433 2200 3103 G26313G804",OK,
2026-03-16 05:24:02.038,2610016968,21007333,2856,GOOD,E,"OR Order quantity exceeded by 2,856 PCS : 21007333 2200 3103 G26313GA03",OK,
2026-03-16 05:24:02.497,2610017226,21012223,6756,GOOD,E,"OR Order quantity exceeded by 6,756 PCS : 21012223 2200 3103 G26314G303",OK,
2026-03-16 05:24:03.034,2620000168,22000660,25500,GOOD,E,"OR Order quantity exceeded by 25,500 PCS : 22000660 2200 3102 G26314G803",OK,
