datetime,api,duration_ms,return_type,return_message,status,error
2026-03-16 05:14:50.033,PPI004SET,480,E,"OR Order quantity exceeded by 20,000 PCS : 22000543 2100 2602 G26310B801",OK,
2026-03-16 05:14:50.504,PPI004SET,469,E,OR Order quantity exceeded by 500 PCS : 22000167 2100 2602 G26311B701,OK,
2026-03-16 05:14:50.950,PPI004SET,445,E,OR Order quantity exceeded by 500 PCS : 22000167 2100 2602 G26311B704,OK,
2026-03-16 05:14:51.530,PPI004SET,575,E,OR Order quantity exceeded by 100 PCS : 21005361 2100 2703 G26312B408,OK,
2026-03-16 05:14:52.041,PPI004SET,508,E,"OR Order quantity exceeded by 6,000 PCS : 21005342 2100 2603 S26313B201",OK,
2026-03-16 05:14:52.552,PPI004SET,510,E,"OR Order quantity exceeded by 6,000 PCS : 21005342 2100 2603 S26313B202",OK,
2026-03-16 05:14:53.066,PPI004SET,513,E,"OR Order quantity exceeded by 7,900 PCS : 21005342 2100 2603 S26313B203",OK,
2026-03-16 05:14:53.577,PPI004SET,502,E,"OR Order quantity exceeded by 6,336 PCS : 22000550 2100 2602 G26314B505",OK,
2026-03-16 05:16:47.550,PPI004SET,502,E,OR Order quantity exceeded by 30 PCS : 22000761 2300 5702 G26306HH03,OK,
2026-03-16 05:16:48.061,PPI004SET,510,E,OR Order quantity exceeded by 792 PCS : 22000368 2300 5302 S26310H238,OK,
2026-03-16 05:16:48.573,PPI004SET,512,E,OR Order quantity exceeded by 792 PCS : 22000368 2300 5302 S26310H237,OK,
2026-03-16 05:16:49.011,PPI004SET,438,E,OR Order quantity exceeded by 734 PCS : 21005510 2300 5203 S26310H122,OK,
2026-03-16 05:16:49.450,PPI004SET,438,E,OR Order quantity exceeded by 1 PCS : 21005510 2300 5290 S26310H122,OK,
2026-03-16 05:16:49.958,PPI004SET,506,E,OR Order quantity exceeded by 40 PCS : 22000188 2300 5302 S26311H123,OK,
2026-03-16 05:16:50.520,PPI004SET,560,E,"OR Order quantity exceeded by 10,000 PCS : 22000695 2300 5302 S26311H230",OK,
2026-03-16 05:16:51.005,PPI004SET,484,E,"OR Order quantity exceeded by 10,000 PCS : 21012670 2300 5403 I26311HB01",OK,
2026-03-16 05:16:51.543,PPI004SET,537,E,"OR Order quantity exceeded by 6,000 PCS : 22000376 2300 5202 G26312HG01",OK,
2026-03-16 05:16:52.260,PPI004SET,717,E,"OR Order quantity exceeded by 7,200 PCS : 22000537 2300 5602 G26312HH01",OK,
2026-03-16 05:16:53.283,PPI004SET,1023,E,"OR Order quantity exceeded by 7,200 PCS : 22000537 2300 5602 G26312HH02",OK,
2026-03-16 05:16:53.801,PPI004SET,517,E,OR Order quantity exceeded by 960 PCS : 22000532 2300 5302 S26312H111,OK,
2026-03-16 05:16:54.322,PPI004SET,520,E,OR Order quantity exceeded by 960 PCS : 22000532 2300 5302 S26312H111,OK,
2026-03-16 05:16:54.820,PPI004SET,498,E,"OR Order quantity exceeded by 6,000 PCS : 22000617 2300 5602 G26312HW02",OK,
2026-03-16 05:16:55.434,PPI004SET,613,E,"OR Order quantity exceeded by 3,360 PCS : 21014904 2300 5203 S26313H114",OK,
2026-03-16 05:16:55.885,PPI004SET,450,E,"OR Order quantity exceeded by 6,000 PCS : 22000483 2300 5202 G26312HM03",OK,
2026-03-16 05:16:56.341,PPI004SET,455,E,"OR Order quantity exceeded by 6,000 PCS : 22000617 2300 5602 G26312HW03",OK,
2026-03-16 05:16:57.075,PPI004SET,733,E,"OR Order quantity exceeded by 5,500 PCS : 22000696 2300 5602 G26312HH03",OK,
2026-03-16 05:16:57.585,PPI004SET,510,E,OR Order quantity exceeded by 800 PCS : 22000133 2300 5302 S26312H117,OK,
2026-03-16 05:16:58.065,PPI004SET,480,E,OR Order quantity exceeded by 800 PCS : 22000133 2300 5302 S26312H117,OK,
2026-03-16 05:16:58.519,PPI004SET,453,E,OR Order quantity exceeded by 960 PCS : 22000188 2300 5302 S26312H112,OK,
2026-03-16 05:16:58.965,PPI004SET,444,E,OR Order quantity exceeded by 960 PCS : 22000188 2300 5302 S26312H112,OK,
2026-03-16 05:16:59.438,PPI004SET,472,E,"OR Order quantity exceeded by 14,820 PCS : 22000484 2300 5302 S26312H225",OK,
2026-03-16 05:16:59.913,PPI004SET,474,E,"OR Order quantity exceeded by 1,296 PCS : 21013386 2300 5303 P26310H701",OK,
2026-03-16 05:17:00.444,PPI004SET,530,E,"OR Order quantity exceeded by 1,296 PCS : 21013386 2300 5303 P26311H702",OK,
2026-03-16 05:17:00.965,PPI004SET,520,E,"OR Order quantity exceeded by 1,296 PCS : 21013386 2300 5303 P26311H702",OK,
2026-03-16 05:17:01.492,PPI004SET,525,E,OR Order quantity exceeded by 540 PCS : 21008001 2300 5403 I26312H309,OK,
2026-03-16 05:17:02.015,PPI004SET,522,E,"OR Order quantity exceeded by 3,692 PCS : 21012246 2300 5403 I26312H309",OK,
2026-03-16 05:17:02.602,PPI004SET,586,E,"OR Order quantity exceeded by 1,296 PCS : 21013386 2300 5303 P26312H701",OK,
2026-03-16 05:17:03.422,PPI004SET,819,E,"OR Order quantity exceeded by 1,296 PCS : 21013386 2300 5303 P26312H701",OK,
